,review_text,review_rating,BERT_score,issue
25,"The vest is comfortable to wear. It has three thin straps on the front to secure the two sides of the vest together. I would prefer it had two thicker straps instead as I worry the thin straps will break over time. There is an included 500 mL water bottle that fits securely into the front left pocket. The water bottle is very-light weight and does not protrude overly far once inserted into the vest pocket. The vest also includes a pocket for your cell phone as well as a small zippered pocket for valuables such as keys or money. The fabric of the vest is very pliable and breathable, which helps keep you from getting too hot while wearing it. The water bottle includes a mouthpiece where you have to bite down on the straw to allow water to release. While this is useful to prevent wasting water, I worry that the straw will not be able to be properly cleaned and dried over time. The overall cap on the water bottle is flimsy and will likely fail in the future. I would have preferred if the bottle included a second cap with a different drinking mechanism. The back of the vest has a reflective strip for visibility at night.",4.0,4,none
26,"When I first looked at the vest, I wasn't sure how breathable the material would be. I was pleasantly surprised that I didn't feel overheated after running 8 miles it in about 80 degree Los Angeles weather. The vest comes with a 17oz soft bottle with a bite spout. The bite spout isn't as easy to use as other spouts of similar design but once you figure out how to use this one, you should have no issues. The pouch that holds the water is also big enough to hold my magnesium gel (in case of muscle cramps).The pocket on the right shoulder strap is big enough to hold gels and other electrolyte/carb snacks. The zip pocket on the left shoulder strap is great to secure you keys.The flip pocket for your phone was big enough for my iPhone Pro Max and its case. When you flip the pocket down, the protective plastic could distort the camera's view so face recognition might not always work.If you're not used to a vest, it takes some getting used to having everything in your chest area. FWIW: I measure out with a 40-42 inch chest and the Large/XL is quite comfortable. You might find yourself tugging on the chest straps every couple of miles, but I never felt the vest move or wabble. I just wanted it to be a bit snugger.All-in-all, I really liked the vest. It was really nice being completely hands free.",4.0,4,none
27,I don't run so did not get for myself but somebody in the family who does. I'm a rather thick guy and I got this to fit me perfectly. The materials all seem to be good quality and durable. I'm not sure what to think about somebaody carrying too much around the breast area but if my family member wants to this has pockets that will hold several items. I have no qualms giving this as a present. If I get feedback once it has been used sometime in the near future I will share.,4.0,4,none
28,"The girls are a little squished. I typically wear a small in everything, and there’s a gap in the back, it’s just my chest size. I love the pockets, and the fact that it’s breathable as I live in a hot state. The water bottle is great since it’s flat, and if you’re near any water fountains to fill. Feels sturdy, except for the straps across the chest feel thin. Otherwise I like the color and product.",4.0,4,none
29,This vest has enough pockets and catch-alls to keep what you need for a day of hiking in reach while keeping your hands free for a walking stick or binocular use. The size is fairly adjustable via straps but may still be too large for big kids and small adults. The back can get sweaty as that section tends to have less air flo than the others. Pretty well made and easy to wipe clean.,4.0,4,none
30,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 2:12Loaded: 4.55%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -2:12 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedEnglishAudio Trackdefault, selectedFullscreenThis is a modal window.


Thoughtful Detail and Comfortable Material.  Comfortable to wear against skin without much chaffing.This vest is very sleek and attractive with an ""urban"" look and feel.  Very nice detailing and doesn't feel cheap at all.I am a 35 chest fitting a (L-X-Large) size here.  I selected this particular vest because of the features it provides.These include:A generously roomy elastic front chest pocket with draw-pull string and lock mechanism..this sack houses a uniquely designed 17floz Flask (that’s a little bit more than your standard water bottle @16.5) This flask can be removed which leaves plenty room for multiple items wallets, and other various larger items. I really like the concept of the flask, the ingenious design ensures a genuinely leak proof seal.  Similar to the usual squirt bottle that you push up and down to squirt; with this flask you simply uncap the pouch, squeeze with your teeth and use suction.Right above that along the left shoulder strap has a small zip pocket that can fit loose change,lighters, car keys, etc.On the right side of the vest is a special compartment for phones of all sizes (with case).  This compartment also has a hidden stash pouch behind the phone pocket.This phone pocket has unique abilities in that it allows you to use your phone without having to pull it out of the pouch.  You just unsnap the button flap, and the dual stitching assures safety from any accidental drops.  and use your touchscreen without any trouble.  I like the fact that the vest has added velcro around the fastening for extra reassurance of your phones' security.Above the Phone pocket, there is a smaller elastic pocket with velcro to store other small items like ear pods, lifesavers, eg.The slot in the rear of the vest  is perfect for reaching over shoulder for a hand towel/handkerchief in times of exhaustion.The reflective patch on the back of the vest is highly visible from left and right periphery. It also features super reflective accents throughout the logos, vest lining, and pull strings for use during night.  Very nice features to have.  The soft yet durable Lycra Neoprene lining allows easy air flow and breathability for hot days.  Moisture wicking so sweat should not be too invasive.This vest is not intended to support your back or posture in any aspect so don’t expect any type of ‘molding’ or ‘form fitting’.I WOULD NOT recommend this vest for running.. up and down movements due to no true fastening makes the vest become clunky and downright uncomfortable in highly animated activity such as running.I found that no matter how tight I pulled the drawstring to secure the flask it kept getting slumped down into the pouch.  The flask, as it's own apparatus, is actually really nice as a travel companion OUTSIDE of it's designated pouch.. maybe if it were not so flexible and had just a bit more structure it would stand upward in the pocket.Imagine all pockets being utilized as intended..it’s just not ideal.  I think this vest would be much more suitable for camping, security work, fishing, Biking might be ok... I think an upgraded version of this vest would be awesome. Adding larger straps and buckles to the front would actually add more strability against the body when running.  Maybe exchange the spandex flex pocket for a different more durable material that wouldnt allow the heavy items to bounce around so much while running. Also, the small strings in the front might get caught up/snagged in something while outdoors.Otherwise, Solid Product.  Nicely crafted vest with a thoughtful design.  Has a versatile look and very durable.",4.0,4,none
31,"This is nice, however I order L/XL and it is too big. I think it would've been perfect if I got the medium. Super quality tho, there is a pouch for your phone with protection, and a water bottle holder with a water bottle to go in it.",4.0,4,size
32,"This vest has a lot of potential that might make it your next awesome running vest. I took it for a 6 mile run today. I have to wear a badge because of where I run, so I was glad to be able to attach my badge around the phone pocket/flap. I adjusted this down to the smallest it would go. I am 132 lbs and 5’7” so not tiny, but unfortunately the vest still should be a bit smaller for me. It tends to bounce around just a bit too much, and as I ran, the top strap kept loosening so I would have to retighten it. There is a zippered pocket which is nice for keys or whatever but the zipper is metal and makes a slight noise as you run as it taps against itself. The phone pocket is really a great feature. You can use your phone, and it is kept safe and easily accessible. I like being able to access it which is much harder when using a running belt which I typically use. The integrated water bottle really isn’t so great. The construction is cheap, and it’s hard to clean it. The opening is tiny, so it would be very hard to add any powder to your liquid. I won’t be using that bottle, but the good news is my old standby water bottle (Nathan brand 19 fl Oz) fits in the pocket perfectly. The nice thing is the vest kept my hands free and doesn’t weigh much, and it’s comfy to wear. My biggest complaints are: it is too big so it bounces some. The zipper noise is annoying. The water bottle it comes with is garbage. The top strap keeps loosening on its own. But I might use it from time to time if I want to carry more stuff, and it does hold my badge well.",4.0,4,size
33,"First thing to note: this item does precisely what it promises - jiggle-free harness for water bottle and cell phone. Its elastic chest straps do a great job of holding everything tight to the body.  First impression is that the vest is too small, and probably uncomfortable. Wrong! Once you strap in and hit the trail, you realize that the size and the fit are perfect for the task at hand. No matter what you do, the phone and the water bottle stay with you like white on rice. They are held so secure, you forget that they're even aboard. And there is an additional pocket on each shoulder strap, and another big mesh pocket on the back panel. Everything is held snug and secure. I just took it on a hike in high humidity, 90° weather in South Florida. It did a fine job dissipating heat. It did not create hot spots or sweat puddles. Bravo!  The phone pocket is not quite what was promised. Yes, you can use the clear panel as a touch screen - but not very well. At least you can see the screen, without pulling the phone out of its protective pocket.",4.0,4,size
34,"The first thing I noticed was the lightweight and breathable design of the vest. The mesh material allows for excellent airflow, preventing me from feeling overheated or weighed down, even on the warmest days. The adjustable chest straps ensure a snug and customizable fit, which is crucial for preventing bouncing or chafing during my runs.The soft flask is a great addition, providing me with ample hydration without the need to carry a bulky water bottle. The flask is easy to access and refill, allowing me to stay hydrated without interrupting my pace.While the vest is well-designed and functional, I did encounter a few minor drawbacks. The pockets, while sufficient for storing small items, could be a bit larger to accommodate larger items like a phone or energy gels. Additionally, the chest straps sometimes require some fiddling to achieve the perfect fit, but this is a small price to pay for the overall comfort and performance of the vest.Overall, I am very pleased with the  Adjustable Vest. It has become an essential part of my running gear, providing the necessary hydration and comfort to power through my training sessions.",4.0,5,none
35,This is comfortable and fits really well and is easily adjustable but it's very very hot. Like I'm already sweating and now it's sticking to me. I don't have that issue with other Hydration packs. It's a very thick material like a wet suit in a way. But it's still a very good product. Maybe just better for easy hiking rather than anything endurance or sweat inducing.,4.0,4,none
36,"This would be perfect for anyone looking for a high-quality, highly functional bike rider or runner's vest and it FITS them. It's advertised as up to a 44"" chest -- however, I have a 42"" chest, and this is WAY too small. Frankly, my opinion is it would fit a child or a small-framed man or woman quite nicely, but certainly not an average-sized man. Otherwise, this vest gets high marks for quality of material and craftmanship, in additional to its outstanding functional features, i.e., phone pocket that unbuttons to flip out; included water bladder and pocket; and reflective strip on the lower back.",4.0,3,size
37,"Definitely good use for smaller size people. I had to give mine to my significant other but she uses it 3x a week and loves it. She’s a size small and it fits perfect, the option to be able to have your phone on you and the sleeve for portable eater bottle is very nice.10/10 would recommend",4.0,5,none
38,"This vest comes with lots of pockets, which I like very much. I can keep my keys, cell phone, water bottle (which it comes with), and other items on me while I run or walk. The vest fits me well and has adjustable straps. The only thing I didn't like is that the straps move too easily. They were stretching out but themselves which caused the vest to become too loose.",4.0,4,none
39,"I really like this running vest! I’ve never been a fan of running with water but once you start training for a marathon, it’s a must. This vest is not too cumbersome or annoying. It holds easily enough water for a long run. The water pockets are easy to access while running. It’s very breathable and light. It has reflective material if you wanted to run in the dark hours and use it to help be seen by cars.",5.0,5,none
40,"Omgoodness!  I literally just had a problem with my cell phone falling out of my hoodie pocket again while jogging yesterday.  This Zelvot run vest is amazing.  I like the way it fits; not to long, heavy or cumbersome.  In fact it is very lightweight.There are pockets for almost everything you need while exercising.  Keys, cell phone, Chapstick and even a water bottle, which was provided, by the way!  The pocket that holds the phone unsnaps and flips down so that you can review the screen for calls, texts, etc.  Very well thought of.  And there is hidden pocket in the back of the vest for, say...a small sweat towel, perhaps?I wore it to the gym today and a lady took a picture of it and said she was going to order one for herself. It provides the convenience and accommodations I have been seeking.  I highly recommend this vest to anyone in need of the same.",5.0,5,none
41,"I wear half dozen running vests, which one depends on the occasion. I am giving this vest a five star for a few reasons even though I could change a few things.First off as much as I would love to go out without my phone it just isn’t going to happen. This vest has the perfect pocket to carry a large phone and be able to use it without removing it from the vest. The flip down pocket allows you to access your phone without stopping.I wish it came in colors other than the sun heat absorbing black I have in it. The fabric does have small holes evenly spaced through out for breathability. The is a giving stretch to the fabric, yet is a bit heavier than my other vests. Nice large reflective strip on the back for low light visibility, car head lights reflect well. This area also has an open pocket, you could store extra water or for me a small rain poncho along the spine.Comes with a bite valve collapsable bottle. Now this took many soaks to get rid of the plastic taste, I almost gave up but you can get through a run in the heat before the water starts to taste funny. I don’t know why running bottles and bladders always tastes like plastic when throw away ones don’t. They just need extra care.The cross straps are easy to work, and there are three for fine adjustments across the chest. With that being said, this vest is a bit large on me and I will probably have to use it for short runs or in the winter when I am wearing a jacket as the edges rub my arms while running and will cause chafing on long runs. I think this will vary on the user due to body shape.Small pockets on both sides near collar bone, one is a zipper and one is a velcro. Holds a few gels, chap stick or tissues etc.I had to leave this out in the sun a few days to get rid of the manufacturing odor.Over all I think it is a good vest, I would like an option for color to not absorb so much heat from the sun and size choices to reduce weight and improve fit.",5.0,4,none
42,"I've been looking for that perfect running vest that has everything I need to run in 90 degree+ heat with humidity, sun and long miles.  The fabric on this vest is very soft and comfortable.  I like that the phone pocket it water/sweat proof.  Your phone can fit in the pocket that has a clear side that allows you to use face recognition and you can easily see your phone, change workout, songs, answer call, etc just by unsnapping it and it folds down.  You don't have to take the phone out.  This is exactly what I was looking for when looking for a sweat proof phone holder for my very long runs.  The water bottle is interesting.  It is a very squishy, lighweight collapsible clear bottle.  I was worried that I wouldn't be able to grip it to take it in and out of the pocket, but realized I just had to pull it up enough to be able to reach the nozzle and it is a bite and drink nozzle, so I actually didn't have to take it all the way out.  There aren't enough other pockets for what i like.  There are two small pockets on either shoulder but they are up pretty high so kinda hard to reach.  The pocket on the back is not big enough for a bladder and the water bottle for the pocket does not hold enough water for my really long runs.  There is not another water/sweat proof pocket for a small towel either.  Pretty pink color.",3.0,5,none
43,"This vest has it all.  It has a place for your phone that, once secured, allows you to pull down the flap it’s in and see the screen through the clear plastic window.  But, the flap is secured with both Velcro and a snap.  You have to really want to look at your phone.  The touch screen worked great for me with my Pixel 6 Pro.  There is another storage area behind the phone sleeve (it’s in the same velcroed flap as the phone goes in).  I don’t know what I’d put in there, but I’d say you could fit a passport or something of a similar size in it.  This vest also has a zippered pocket on the left shoulder—perfect for a key or credit card or ID—and a small velcroed pocket on the right shoulder, which could easily hold some lip balm.  It comes with a collapsible bite-valve water bottle, though you will need to make an effort to get the plastic taste out of it.  It has a reflective strip on the back.But, most importantly, this vest will not move as you run.  It is very secure and stable.  The mesh back makes it pretty breathable, and it’s definitely lightweight and very comfortable.For reference, I’m 5’7”, 126#, 34C, and this fit perfectly on the tightest strap setting.",5.0,5,none
44,"Tested this baby out hiking this last weekend.... I LOVE IT.  I have several things that I love about this vest:1.  The areas with the holes are almost like the body glove fabric so it breathes really well and has a sort of cooling effect.2.  The cell phone pocket is amazing! I love that you can put your phone in there and if you wanted to change your music you can either leave it hanging while you are running or you can Velcro it up and pull it down to change the music.  This is life changing because I no longer have to worry about dropping my phone while I'm running or needing to stop to change my music3.  The water bottle has a bite valve so you can get water out of it without even removing it from the pocket4.  The zipper pocket on the left shoulder is large enough for a key fob which is really nice!The only thing that I wish this vest had was a metal loop to hook my dog to but honestly, I'd buy this vest again regardless of that.",5.0,5,none
45,"The Zelvot Running Vest for Women and Men is a practical and well-designed piece of gear, ideal for those who enjoy daily walks or runs. One of the standout features is that it comes with a water bottle, though I prefer not to place it in the designated pocket as it tends to add extra weight. Despite this, the vest itself is incredibly lightweight and comfortable to wear.An important note is that the vest has a size limit, so be sure to check the sizing to ensure a proper fit. The adjustable chest straps help achieve a secure and customizable fit, but verifying the size beforehand is crucial.The touchscreen pocket is a fantastic addition—it's sweatproof, which is perfect for keeping your phone dry. I appreciate the convenience of being able to unbuckle the vest without my phone falling out, thanks to the secure Velcro patch. Overall, this running vest has become my go-to for daily walks, offering a combination of comfort, practicality, and thoughtful design features.",5.0,4,none
46,Nice running vest. Comfortable to wear. Great for. Nice moisture wicking natural. Holds a good size water bottle in from pocket. Nice lightweight design. Size was adjustable.,5.0,5,none
47,"I really like this hydration vest.  It has adjustable front straps to loosen or tighten to fit you just right.  It comes with a hydration flask that will carry 1-2 hours of water while you are active.  What I like about this the most is it has a clear phone holder that snaps and velcros open and close, so you can easily view who is calling or control your music while you are on the go.  The fabric is lightweight and breathable, though not as much as pure mesh.  Also, the vest has a back pocket and a reflective strip to keep you safe at night.  Overall, this is a great product, especially for the price point!",5.0,4,none
48,"It’s a good quality running vest for the price ..i like the color and it comes with the hydration bottle ,size are good for a petite/short person like me sit right below my rib cage ,i like the extra pockets where i can put my keys and running gels most of all the phone pocket is such a genius it can actually fit my Iphone pro max which is huge! Highly recommended👌🏻👌🏻👌🏻",5.0,5,none
49,"Never know what to do with all my stuff (phone, keys, and water) while I’m jogging, and this is a great solution. I’m actually a new jogger, so I didn’t know such nifty stuff was available. I like that this has adjustable straps. It’ll fit many sizes.",5.0,5,none
50,This is a lightweight vest with a handy refillable bottle to keep you hydrated while running or hiking. It is ventilated to help you stay cool and the water bottle easily fits inside the pocket.,5.0,5,none
51,Perfect for my runs,5.0,5,none
52,"This running vest combines style and functionality seamlessly. Its sleek design offers a modern aesthetic while providing ample storage space for essentials during your run. The fit is true to size, hugging the body comfortably without feeling restrictive. Whether you're hitting the pavement or tackling trails, this vest offers the versatility and comfort you need to perform at your best.",5.0,5,none
53,It is a bit too thick for my liking but the touch screen + water pouch is a great addition.,3.0,4,none
54,"The vest is incredibly lightweight and breathable, which is perfect for my long runs. It has enough pockets to store all of my essentials without feeling bulky or getting in the way. The reflective strips also provide added safety for running in low light conditions. Overall, I would highly recommend this running vest to anyone looking for a comfortable and practical option for their runs.",5.0,5,none
55,"THESE RUN ON THE SMALL SIDE. WAY SMALL. EVEN WITH THE STRAP EXTENDED, I COULDN'T GET THIS TO CLASP. IT SEEMS LIKE GOOD QUALITY MATERIAL AND IT LOOKS NICE, AND ALSO IS IN THE PRICE RANGE I WOULD EXPECT. THE SIZE TOOK TWO STARS FROM THIS REVIEW THOUGH, AS THIS FITS MORE LIKE A MEDIUM.",3.0,2,none
56,"Comes with soft water bottle, perfect! Thank you so much.",5.0,5,none
57,"It looked a little too small at first but it first perfectly on my husband (size M). It was great for storage of water and phone on our hike. It feels very lightweight so it will be perfect all year round. Looks expensive, and the material feels nicer than some big name brands.",5.0,5,size
58,"Handy vest for running, hiking, biking. But can't imagine this is one size fit all. Barely fit me and not big guy. Also joggers need better straps so phone does not bounce. Product as is would have very limited appeal.",3.0,3,none
59,Adjustable chest straps. It has five pockets. It looks good. It's lightweight. And it can help keep you cool while running.,5.0,5,none
60,Reflection is great.  A small water bottle.  Storage.  And easy to strap on while staying comfortable even during long runs.Try this if you’re a runner or walker.  I tried several products to carry water while I jog.  The waist fanny pack style water bottle ones bounce too much.,5.0,4,none
61,"Crafted with lightweight and breathable materials, this vest provides the perfect balance of comfort and performance during workouts or outdoor activities. Its form-fitting design offers a flattering silhouette without restricting movement, allowing you to move freely with every stride",5.0,5,none
62,"Got this for my daughter who runs track. She runs every day on her own and I'm always afraid she's gonna dehydrate.  I should've paid better attention.  She has a small frame, so we didn't want anything very big and bulky for her.  But, even though this one is lightweight and NOT bulky, it only carries a 500ml bladder, which is roughly 16 ounces.  That's 2 cups of water.  And, even though you're not supposed to drink A LOT when you're running because it can upset your stomach, when she's running several miles per day in the hot Texas heat, 2 cups is not near enough.",3.0,4,none
63,"This item fits perfectly, holds the items I need and is good quality. It keeps your legs and arms free.",5.0,5,none
64,Super compact.  Nice materials.  Fits great.  Good value.  Adjusts perfectly.,5.0,5,none
65,"This running vest is great! It’s comfortable and lightweight. My favorite feature is the phone compartment, which makes it easily accessible for quick use. I also like the reflective stick on the back for night running.",5.0,5,none
66,I use this on my daily running with my son. Keeps everything safe and secure,5.0,5,none
67,"The vest is comfortable on the tightest setting for me but not for long-the fasteners at the front slip out of place very easily resulting in me having to adjust it every few minutes, which believe me is very annoying! The only thing I liked about this vest is the phone holder and extra pockets for keys.update: customer service sent me a replacement in Pink (so pretty!) and the straps no longer has this issue. The updated product is truly amazing and I have nothing bad to say about it except that it can get a bit hot in summer.",5.0,2,none
68,"The vest exceeded my expectations. It fits perfectly with adjustable straps for a snug, comfortable fit. The lightweight, breathable material keeps me cool, and the vest has ample storage for essentials with secure zippers. Reflective strips ensure high visibility for safety during low-light runs. The durable build quality shows no signs of wear after weeks of use. Highly recommended for any runner!",5.0,5,none
69,I havent used it but it seems like a comfortable vest and the pockets are spacious enough for a phone or other things like a wallet. The soft flask also seemed like a good quality. Unfortunately had to return it as the middle fastener is missing.,4.0,3,none
70,Love this vest. The pockets fit everything I need for a long run and the adjustable straps are exactly what I was looking for.,5.0,5,none
71,New vest with updated straps solved the issue of the straps loosening while running. Excellent customer service that exceed expectations!Vest is nice for long runs!,5.0,5,none
72,"package says for women and M/L. How an outfit can be Medium and Large at the same time when it is not stretchable.I think this style is more suitable for small size chest person. M/L is rally XS for a men.Phone location at front and water at the back good design.  Material is heavy duty may not suitable for a long distance runner. For hiking and walking and jogging is good for people who don't want to wear a belt.I noticed another L/XL version of listed of this product another site. I would imagine this will be lower.price fort M/L was ok, however L/XL is +cad$15 more.  At that price range Osprey's new designs starting at cad$100. Price for M/L for small body will fit and price is reasonable for good design. Too bad it didn't  have more sizes listed in the same product page. In Product description it should indicate minimum chest size. Rather than indicating M/L. This is not how it should be sold.",3.0,3,none
73,"La veste est pratique, belle, je l’adore. Par contre elle n’est pas fait pour les très grosses poitrines. Sinon, super légère je ne la sens même pas sur moi. Et que dire de la gourde souple qui vient avec 🤩 c’est beau, pratique et ' génial 🙌🏼",5.0,4,none
